Date,Price Open,Price Low,Price High,Price Close,Volume
2010-02-01,9718.740623109,9718.740623109,9718.740623109,9718.740623109,113474.0
2010-02-03,10123.688149072,10123.688149072,10528.635675034,10123.688149072,437377.0
2010-02-04,10123.688149072,9921.21438609,10123.688149072,10123.688149072,239970.0
2010-02-08,9617.503741618,9212.556215655,10022.451267581,10022.451267581,303069.0
2010-02-09,10022.451267581,9556.761612723,10022.451267581,9921.21438609,50675.0
2010-02-10,9921.21438609,9900.967009792,9921.21438609,9921.21438609,35092.0
2010-02-11,9921.21438609,9617.503741618,9921.21438609,9718.740623109,39916.0
2010-02-12,9718.740623109,9415.029978636,9718.740623109,9718.740623109,96739.0
2010-02-24,9091.071957866,8645.629679307,9091.071957866,8665.877055605,83718.0
2010-02-25,8665.877055605,8605.134926711,9050.57720527,8908.845571183,37141.0
2010-02-26,8908.845571183,8908.845571183,9070.824581568,9050.57720527,78595.0
2010-03-01,9050.57720527,9010.082452674,9111.319334164,9111.319334164,106302.0
2010-03-10,9435.277354935,9313.793097146,9759.235375705,9435.277354935,185922.0
2010-03-11,9435.277354935,9111.319334164,9698.49324681,9111.319334164,288895.0
2010-03-12,9111.319334164,9111.319334164,9313.793097146,9313.793097146,33897.0
2010-03-15,9313.793097146,9273.298344549,9617.503741618,9313.793097146,297348.0
2010-03-17,8929.092947481,8605.134926711,8949.340323779,8706.371808201,197705.0
2010-03-18,8706.371808201,8706.371808201,9010.082452674,9010.082452674,66214.0
2010-03-19,9010.082452674,8908.845571183,9091.071957866,9030.329828972,215977.0
2010-03-23,9111.319334164,9030.329828972,9111.319334164,9111.319334164,211324.0
2010-03-24,9111.319334164,9111.319334164,9212.556215655,9212.556215655,59426.0
2010-03-25,9212.556215655,9111.319334164,9212.556215655,9192.308839357,34665.0
2010-03-26,9192.308839357,9010.082452674,9617.503741618,9617.503741618,561140.0
2010-03-29,9617.503741618,9334.040473444,9921.21438609,9334.040473444,270794.0
2010-03-30,9334.040473444,9111.319334164,9374.53522604,9313.793097146,30695.0
2010-03-31,9313.793097146,8908.845571183,9313.793097146,8908.845571183,464913.0
2010-04-01,8908.845571183,8908.845571183,9313.793097146,9313.793097146,474946.0
2010-04-02,9313.793097146,9151.814086761,9394.782602338,9313.793097146,294530.0
2010-04-05,9313.793097146,9232.803591953,9415.029978636,9415.029978636,391739.0
2010-04-06,9415.029978636,9415.029978636,9516.266860127,9455.524731233,307807.0
2010-04-07,9455.524731233,9415.029978636,9617.503741618,9617.503741618,541417.0
2010-04-08,9617.503741618,9516.266860127,10083.193396475,10083.193396475,621208.0
2010-04-09,10083.193396475,10083.193396475,10427.398793544,10224.925030562,189807.0
2010-04-12,10224.925030562,10123.688149072,10326.161912053,10224.925030562,355622.0
2010-04-13,10224.925030562,9921.21438609,10224.925030562,9921.21438609,177000.0
2010-04-14,9921.21438609,9718.740623109,9941.461762388,9819.977504599,102460.0
2010-04-15,9819.977504599,9819.977504599,10123.688149072,10123.688149072,372229.0
2010-04-16,10123.688149072,9921.21438609,10224.925030562,10224.925030562,322792.0
2010-04-20,10629.872556525,10629.872556525,11136.056963979,11136.056963979,668852.0
2010-04-22,11642.241371432,11136.056963979,11642.241371432,11136.056963979,746978.0
2010-04-26,11136.056963979,11136.056963979,11642.241371432,11439.767608451,439469.0
2010-04-27,11439.767608451,11034.820082488,11642.241371432,11439.767608451,630258.0
