Date,Price Open,Price Low,Price High,Price Close,Volume
2007-11-15,27307.629684459,23177.133409059,31438.125959859,28143.661996714,1107351.0
2007-11-16,28143.661996714,28143.661996714,28193.327282591,28193.327282591,449213.0
2007-11-20,31007.693482262,28292.657854344,34103.496301901,28292.657854344,362377.0
2007-11-22,27580.78875678,24882.308224154,27812.56009087,26322.601514574,407221.0
2007-11-27,24667.091985355,23922.112697207,25494.846749964,24584.316508894,127532.0
2007-11-28,24584.316508894,24253.214603051,24832.642938277,24584.316508894,86576.0
2007-11-29,24584.316508894,24253.214603051,24832.642938277,24335.990079512,148269.0
2007-11-30,24335.990079512,23839.337220746,24484.985937141,24004.888173668,106795.0
2007-12-03,24004.888173668,23673.786267824,24170.43912659,23773.116839577,153194.0
2007-12-04,23773.116839577,23011.582456137,23905.557601915,23177.133409059,221107.0
2007-12-05,23177.133409059,22349.378644449,23673.786267824,22846.031503215,131420.0
2007-12-06,22846.031503215,21521.62387984,22846.031503215,21852.725785684,204517.0
2007-12-07,21852.725785684,20859.420068153,23508.235314902,22183.827691528,199852.0
2007-12-10,22183.827691528,21207.077069289,22514.929597371,21356.072926918,210738.0
2007-12-11,21356.072926918,20776.644591692,21356.072926918,20776.644591692,98241.0
2007-12-12,20776.644591692,20064.775494128,21521.62387984,20776.644591692,271394.0
2007-12-17,19535.012444778,17896.058010852,19535.012444778,17962.27839202,114571.0
2007-12-18,17962.27839202,16886.197198028,18607.927108416,18376.155774325,159933.0
2007-12-19,18376.155774325,17051.74815095,19336.351301272,19336.351301272,81392.0
2007-12-20,19336.351301272,18227.159916695,20362.767209387,19203.910538934,118200.0
2007-12-21,19203.910538934,18541.706727247,20362.767209387,19866.114350622,199592.0
2007-12-24,19866.114350622,19866.114350622,21024.971021075,20031.665303544,115349.0
2007-12-25,20031.665303544,19535.012444778,20031.665303544,19733.673588284,106795.0
2007-12-26,19733.673588284,19452.236968317,20445.542685848,20031.665303544,100055.0
2007-12-27,20031.665303544,19882.669445914,20197.216256465,20031.665303544,94871.0
2007-12-28,20031.665303544,19882.669445914,21985.166548021,21786.505404515,134012.0
2008-01-02,21786.505404515,20693.869115231,22018.276738606,21024.971021075,151120.0
2008-01-03,21024.971021075,20362.767209387,21190.521973996,20611.09363877,49250.0
2008-01-04,20611.09363877,20064.775494128,20693.869115231,20197.216256465,57804.0
2008-01-07,20197.216256465,18376.155774325,20329.657018803,19518.457349486,48213.0
2008-01-08,19518.457349486,19038.359586012,20677.314019939,19369.461491856,72320.0
2008-01-09,19369.461491856,18541.706727247,19700.5633977,18790.03315663,84502.0
2008-01-10,18790.03315663,16968.972674489,18872.808633091,18210.604821403,313127.0
2008-01-11,18210.604821403,17465.625533255,18707.257680169,17962.27839202,127272.0
2008-01-15,17184.188913288,15429.348812316,17217.299103872,15727.340527575,211775.0
2008-01-17,17266.964389749,15892.891480497,18541.706727247,17382.850056794,193112.0
2008-01-18,17382.850056794,16223.993386341,18541.706727247,17713.951962638,147232.0
2008-01-21,17713.951962638,17051.74815095,17713.951962638,17548.401009716,76467.0
2008-01-23,16836.531912152,15727.340527575,16968.972674489,16389.544339263,318052.0
2008-01-24,16389.544339263,16273.658672218,17217.299103872,16555.095292185,138418.0
2008-01-25,16555.095292185,16323.323958094,17051.74815095,16555.095292185,115349.0
2008-01-28,16555.095292185,16157.773005172,16886.197198028,16389.544339263,67913.0
2008-01-29,16389.544339263,16223.993386341,17200.74400858,16720.646245107,114053.0
2008-01-31,18541.706727247,17051.74815095,18541.706727247,18045.053868481,130901.0
2008-02-01,18045.053868481,17713.951962638,18326.490488448,18028.498773189,130642.0
2008-02-14,16819.97681686,16720.646245107,17366.294961502,16803.421721567,78541.0
2008-02-15,16803.421721567,16389.544339263,16886.197198028,16555.095292185,82429.0
2008-02-19,15975.666956958,15247.242764102,16223.993386341,15743.895622868,74134.0
2008-02-20,15743.895622868,14734.034810044,15892.891480497,14899.585762966,87354.0
2008-02-22,13740.729092513,12432.876564431,14071.830998357,13078.525280826,245214.0
2008-02-25,13078.525280826,12416.321469139,13922.835140727,13922.835140727,116904.0
2008-02-26,13922.835140727,12465.986755015,14717.479714752,12581.87242206,107832.0
2008-02-27,12581.87242206,11671.34218099,13244.076233748,12085.219563295,163044.0
2008-02-28,12085.219563295,11919.668610373,12515.652040892,12118.329753879,116385.0
2008-02-29,12118.329753879,12085.219563295,12747.423374982,12747.423374982,293168.0
2008-03-04,12416.321469139,10793.922130504,12581.87242206,10793.922130504,285651.0
2008-03-10,12035.554277418,12035.554277418,13227.521138456,12250.770516217,264395.0
2008-03-11,12250.770516217,11704.452371575,12250.770516217,11704.452371575,140751.0
2008-03-12,11704.452371575,11572.011609237,12714.313184398,12085.219563295,135826.0
2008-03-13,12085.219563295,11919.668610373,12416.321469139,12250.770516217,69209.0
2008-03-19,9750.951127097,9436.404316545,10578.705891706,9684.730745928,161229.0
2008-03-20,9684.730745928,9519.179793006,10264.159081155,9817.171508266,38363.0
2008-03-21,9817.171508266,9039.082029533,9899.946984726,9039.082029533,71542.0
2008-03-26,7416.682690899,6688.258498043,7946.445740249,7946.445740249,177819.0
2008-04-08,8923.196362488,8658.314837813,9188.077887163,9039.082029533,178078.0
2008-04-17,8029.22121671,7797.449882619,8260.9925508,8260.9925508,150861.0
2008-04-24,7218.021547393,7002.805308594,7284.241928561,7002.805308594,73356.0
2008-04-25,7002.805308594,6820.69926038,7019.360403886,6853.809450964,64543.0
2008-04-28,6853.809450964,6688.258498043,6953.140022718,6737.923783919,39659.0
2008-04-29,6737.923783919,6605.483021582,6804.144165088,6605.483021582,21255.0
2008-05-05,6605.483021582,6439.93206866,6622.038116874,6439.93206866,2073.0
2008-05-16,5115.524445285,4966.528587655,5165.189731162,4966.528587655,52360.0
2008-06-10,3261.35377256,3178.578296099,3344.129249021,3344.129249021,47435.0
2008-06-12,3277.908867853,3244.798677268,3344.129249021,3344.129249021,8553.0
2008-06-18,3609.010773696,3509.680201943,3708.341345449,3509.680201943,117941.0
2008-06-23,3426.904725482,3294.463963145,3559.34548782,3559.34548782,113793.0
2008-06-24,3559.34548782,3559.34548782,3559.34548782,3559.34548782,53916.0
